CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Balance Category,Age Category,Adjusted_Salary,Salary Category,Credit Score Category
15634602,619,France,Female,42,2,0.0,1,HasCard,Active,101348.88,Left,No Balance,Adult,101348.88,High,Fair
15647311,608,Spain,Female,41,1,83807.86,1,No Card,Active,112542.58,Stayed,Medium,Adult,112542.58,High,Fair
15619304,502,France,Female,42,8,159660.8,3,HasCard,Not Active,113931.57,Left,High Balance,Adult,113931.57,High,Very Poor
15701354,699,France,Female,39,1,0.0,2,No Card,Not Active,93826.63,Stayed,No Balance,Adult,93826.63,Medium,Good
15737888,850,Spain,Female,43,2,125510.82,1,HasCard,Active,79084.1,Stayed,Medium,Adult,79084.1,Medium,Excellent
15574012,645,Spain,Male,44,8,113755.78,2,HasCard,Not Active,149756.71,Left,Medium,Adult,149756.71,High,Fair
15592531,822,France,Male,50,7,0.0,2,HasCard,Active,10062.8,Stayed,No Balance,Adult,10062.8,Low,Excellent
15656148,376,Germany,Female,29,4,115046.74,4,HasCard,Not Active,119346.88,Left,Medium,Young,119346.88,High,Very Poor
15792365,501,France,Male,44,4,142051.07,2,No Card,Active,74940.5,Stayed,Medium,Adult,74940.5,Medium,Very Poor
15592389,684,France,Male,27,2,134603.88,1,HasCard,Active,71725.73,Stayed,Medium,Young,71725.73,Medium,Good
15767821,528,France,Male,31,6,102016.72,2,No Card,Not Active,80181.12,Stayed,Medium,Adult,80181.12,Medium,Very Poor
15737173,497,Spain,Male,24,3,0.0,2,HasCard,Not Active,76390.01,Stayed,No Balance,Young,76390.01,Medium,Very Poor
15632264,476,France,Female,34,10,0.0,2,HasCard,Not Active,26260.98,Stayed,No Balance,Adult,26260.98,Low,Very Poor
15691483,549,France,Female,25,5,0.0,2,No Card,Not Active,190857.79,Stayed,No Balance,Young,190857.79,High,Very Poor
15600882,635,Spain,Female,35,7,0.0,2,HasCard,Active,65951.65,Stayed,No Balance,Adult,65951.65,Medium,Fair
